date,volume_score,breadth_score,turnover_score,amihud_score,spread_score,uzli
2016-12-26,2.7404104600808363,0.0172413793103448,0.0002611103234831,1.0,1.0,0.9886161684631488
2016-12-27,0.4470585373922383,0.0241379310344827,0.32474444105007,1.0,1.0,0.4977783308174736
2016-12-28,3.0,0.0241379310344827,0.1106010831655502,1.0,1.0,1.0824778569982842
2016-12-29,0.1743755276411392,0.0034482758620689,5.294663330523277e-05,1.0,1.0,0.3442967737410249
2016-12-30,1.1867499031265656,0.0103448275862068,0.0014149829826483,1.0,1.0,0.5991101870445448
2017-01-03,0.1008676855177585,0.0103448275862068,0.0010885464413259,1.0,1.0,0.32755802350701246
2017-01-04,1.0113578236000724e-06,0.0034482758620689,1.526176978376044e-07,1.0,1.0,0.3006899461662942
2017-01-05,0.0467180558306784,0.0034482758620689,0.0003877411679414,1.0,1.0,0.31246610442206874
2017-01-06,0.0054854717626938,0.0103448275862068,0.0004554245481112,0.9999999979628365,0.9942028985507246,0.3029744790425824
2017-01-09,0.0392627311734404,0.0068965517241379,0.0004045772788554,1.0,1.0,0.3112961374579015
2017-01-10,0.0600718725957139,0.0103448275862068,0.0025062364593345,1.0,1.0,0.31771349278100347
2017-01-11,0.0091408589080182,0.0103448275862068,0.0006369662571975,1.0,1.0,0.3045134218085453
2017-01-12,0.1016752824597437,0.0137931034482758,0.0001583622209906,1.0,1.0,0.32821703185983875
2017-01-13,0.2133777773071493,0.0137931034482758,0.0002900957261789,1.0,1.0,0.3561755889479872
2017-01-16,0.0468137228060885,0.0137931034482758,0.4180642685120567,1.0,1.0,0.4189781185191914
2017-01-17,0.0006844596618468,0.0068965517241379,0.0737794117647058,1.0,1.0,0.3199952782014658
2017-01-18,0.0003487960307616,0.0034482758620689,7.144576306530902e-07,1.0,1.0,0.30077703279451184
2017-01-19,0.1326618840367554,0.0034482758620689,0.0002901163287821,1.0,1.0,0.3339276552637982
2017-01-20,1.6226356949842229,0.0137931034482758,0.0007577504933497,1.0,1.0,0.7086069820590483
2017-01-23,1.4692275070131704,0.0275862068965517,0.1887391437347759,1.0,1.0,0.7200089040662969
2017-01-24,0.6434079845376816,0.0068965517241379,0.0052193771590487,1.0,1.0,0.4635361507690101
2017-01-25,3.0,0.0206896551724137,0.0001423828393463,0.9999995061730834,0.8706652655403766,1.0412399545329736
2017-01-26,0.000815542300099,0.0034482758620689,0.002,1.0,1.0,0.3013935407474385
